사번,부서,이름,연락처,이메일,입사일자,퇴사일자
231003016,진료과,엥???,010-4024-0240,ggmyerin@gmail.com,2023-10-13,
231003026,진료과,박진철,010-9546-2874,jsga1028@gmail.com,2023-10-13,
231003025,진료과,이민형,010-658-4956,jsga1028@gmail.com,2023-10-13,
230903083,진료과,정의사,010-2866-7199,dun05139@naver.com,2023-09-14,
230903084,간호과,정간호,010-2485-9000,jsga1028@gmail.com,2023-09-14,
231003014,간호과,박간호,010-4024-0240,ggmyerin@gmail.com,2023-10-12,
230903082,원무과,윤강혁,010-2222-5555,hyokee5115@gmail.com,2023-09-14,
231003023,원무과,윤강혁,010-9564-8523,jsga1028@gmail.com,2023-10-13,
231003024,원무과,김지현,010-5648-2451,jsga1028@gmail.com,2023-10-13,
230903144,물리치료과,이경민,010-1234-1234,rudals03030@naver.com,2023-09-25,
231003027,물리치료과,김명의,010-4024-0123,dun05139@gmail.com,2023-10-13,
230903136,영상의학과,정검사,010-5018-3302,fsdf@naver.com,2023-09-20,
230903081,인사총무과,김총무,010-5018-3302,kimyerini@naver.com,2023-09-14,
231003021,인사총무과,김예린,010-5658-3379,jsga1028@gmail.com,2023-10-13,
231003022,인사총무과,한아름,010-9593-6582,jsga1028@gmail.com,2023-10-13,
231003017,행정관리자,윤행정,010-4307-5115,hyokee5115@naver.com,2023-10-13,
231003020,오더관리자,정오더,010-4307-5115,hyokee5115@naver.com,2023-10-13,
